hub_index,hub_name,hub_slug,hub_model,representative_keyword,rep_volume,keyword_count,total_cluster_volume,serp_intent,dominant_ranking_format,top_competitors,hub_competitor_research_file,hub_brief_file,hub_outline_file,research_status,notes
1,Hip arthroplasty and approaches,hip-arthroplasty-and-approaches,Patient + surgeon hybrid hub,anterior hip replacement,"4,400",32,"14,351",Commercial + informational,Hospital/service pages and patient education,HSS | Yale Medicine | private ortho clinics,research\hub_competitor_sheets\001-hip-arthroplasty-and-approaches.md,research\hub_briefs\001-hip-arthroplasty-and-approaches.md,research\hub_outlines\001-hip-arthroplasty-and-approaches.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
2,Robotic joint replacement,robotic-joint-replacement,Commercial-intent hub,robotic knee replacement,"3,600",18,"10,820",Commercial + informational,Provider/service pages and branded technology pages,Stryker/Mako | Spire/Circle hospital pages | surgeon articles,research\hub_competitor_sheets\002-robotic-joint-replacement.md,research\hub_briefs\002-robotic-joint-replacement.md,research\hub_outlines\002-robotic-joint-replacement.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
3,Fracture classifications,fracture-classifications,Reference hub,gustilo anderson classification,"1,000",36,"7,610",Reference/educational,Reference tables and ortho education pages,Orthobullets | Radiopaedia-style refs | textbook/education sites,research\hub_competitor_sheets\003-fracture-classifications.md,research\hub_briefs\003-fracture-classifications.md,research\hub_outlines\003-fracture-classifications.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
4,Orthopedic trauma,orthopedic-trauma,Trauma surgery hub,compartment syndrome surgery,"1,600",25,"5,620",Urgent care + procedural,Hospital explainers and recovery pages,NHS | physio/rehab sites | patient guides,research\hub_competitor_sheets\004-orthopedic-trauma.md,research\hub_briefs\004-orthopedic-trauma.md,research\hub_outlines\004-orthopedic-trauma.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
5,Knee injections and aspiration,knee-injections-and-aspiration,High-volume procedure hub,knee aspiration,"1,600",24,"5,000",Procedural/educational,"OSCE guides, manuals, and clinical references",Geeky Medics | MSD Manuals | Cleveland Clinic,research\hub_competitor_sheets\005-knee-injections-and-aspiration.md,research\hub_briefs\005-knee-injections-and-aspiration.md,research\hub_outlines\005-knee-injections-and-aspiration.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
6,General orthopedic procedures,general-orthopedic-procedures,Mixed fundamentals hub,knee joint aspiration,"1,300",30,"4,330",Procedural/educational,"OSCE guides, manuals, and clinical guides",Geeky Medics | MSD Manuals | AAFP,research\hub_competitor_sheets\006-general-orthopedic-procedures.md,research\hub_briefs\006-general-orthopedic-procedures.md,research\hub_outlines\006-general-orthopedic-procedures.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
7,Access lines and vascular access,access-lines-and-vascular-access,Procedural guide hub,intraosseous access,"2,900",7,"3,770",Informational/procedural,Step-by-step guides and device explainers,Geeky Medics | Osmosis | medical/device publishers,research\hub_competitor_sheets\007-access-lines-and-vascular-access.md,research\hub_briefs\007-access-lines-and-vascular-access.md,research\hub_outlines\007-access-lines-and-vascular-access.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
8,Orthopedic anatomy,orthopedic-anatomy,Foundational anatomy hub,plafond of tibia,480,13,"3,360",Educational/reference,Definition pages and fracture explainers,Orthobullets | Cleveland Clinic | TeachMeSurgery,research\hub_competitor_sheets\008-orthopedic-anatomy.md,research\hub_briefs\008-orthopedic-anatomy.md,research\hub_outlines\008-orthopedic-anatomy.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
9,Sterility and surgical setup,sterility-and-surgical-setup,OR fundamentals hub,surgical asepsis,"2,400",5,"2,690",Educational,Nursing/clinical education pages,Cleveland Clinic | LibreTexts | AFPP standards,research\hub_competitor_sheets\009-sterility-and-surgical-setup.md,research\hub_briefs\009-sterility-and-surgical-setup.md,research\hub_outlines\009-sterility-and-surgical-setup.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
10,Orthopedic education content,orthopedic-education-content,TOFU education hub,orthopaedic procedures,"1,300",7,"1,650",Broad informational,Directory/listicle and reference pages,BOA guideline hubs | OrthoInfo/AAOS-style education | procedure atlases,research\hub_competitor_sheets\010-orthopedic-education-content.md,research\hub_briefs\010-orthopedic-education-content.md,research\hub_outlines\010-orthopedic-education-content.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
11,Injection and nerve block techniques,injection-and-nerve-block-techniques,Step-by-step procedure hub,digital nerve block,"1,000",16,"1,530",Procedural/educational,Manual-style how-to pages,MSD Manuals | Anesthesia Key | Bone & Spine,research\hub_competitor_sheets\011-injection-and-nerve-block-techniques.md,research\hub_briefs\011-injection-and-nerve-block-techniques.md,research\hub_outlines\011-injection-and-nerve-block-techniques.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
12,Fracture fixation techniques,fracture-fixation-techniques,Surgical technique hub,orif tibial plateau,390,12,"1,440",Educational/procedural,Ortho education pages and surgery references,Orthobullets | AO Surgery Reference | rehab/protocol sites,research\hub_competitor_sheets\012-fracture-fixation-techniques.md,research\hub_briefs\012-fracture-fixation-techniques.md,research\hub_outlines\012-fracture-fixation-techniques.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
13,Knee arthroplasty,knee-arthroplasty,Niche technique hub,lateral knee replacement surgery,140,12,790,Low-volume niche / commercial,Provider pages and anecdotal discussions,Orlando Orthopaedic Center | Mayo Clinic Connect | niche orthopedic reviews,research\hub_competitor_sheets\013-knee-arthroplasty.md,research\hub_briefs\013-knee-arthroplasty.md,research\hub_outlines\013-knee-arthroplasty.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
14,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,Video-first procedure hub,trigger finger surgery video,480,13,680,Video intent,YouTube and video libraries,YouTube | CSurgeries | Orthogate,research\hub_competitor_sheets\014-sports-medicine-and-upper-extremity.md,research\hub_briefs\014-sports-medicine-and-upper-extremity.md,research\hub_outlines\014-sports-medicine-and-upper-extremity.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
15,Surgical positioning,surgical-positioning,OR setup hub,jackknife position surgery,480,3,620,Educational/procedural,Medical explainers and reference pages,Osmosis | ScienceDirect Topics | procedure blogs,research\hub_competitor_sheets\015-surgical-positioning.md,research\hub_briefs\015-surgical-positioning.md,research\hub_outlines\015-surgical-positioning.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
16,Amputation techniques,amputation-techniques,Procedural guide hub,below knee amputation technique,70,12,180,Procedural/technical,Technique references and textbook-style pages,Orthobullets | Wheeless Online | AI/medical summary pages,research\hub_competitor_sheets\016-amputation-techniques.md,research\hub_briefs\016-amputation-techniques.md,research\hub_outlines\016-amputation-techniques.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
17,Surgical approaches,surgical-approaches,Exposure/approach hub,anterior surgical approach hip,40,6,130,Procedural/technical,Ortho approach references and hospital pages,Orthobullets | HSS | Yale Medicine,research\hub_competitor_sheets\017-surgical-approaches.md,research\hub_briefs\017-surgical-approaches.md,research\hub_outlines\017-surgical-approaches.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
18,Spine surgery,spine-surgery,Spine procedure hub,minimally invasive microdiscectomy,90,2,90,Informational/commercial,Hospital condition pages and recovery explainers,HSS | Johns Hopkins | Healthline,research\hub_competitor_sheets\018-spine-surgery.md,research\hub_briefs\018-spine-surgery.md,research\hub_outlines\018-spine-surgery.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
19,General/urologic procedures,general-urologic-procedures,Cross-specialty technique hub,suprapubic catheter placement technique,20,2,30,Procedural/clinical,Urology procedural guides and hospital patient sheets,Urology Textbook | NHS hospital leaflets | procedure explainer sites,research\hub_competitor_sheets\019-general-urologic-procedures.md,research\hub_briefs\019-general-urologic-procedures.md,research\hub_outlines\019-general-urologic-procedures.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
20,Thoracic procedures,thoracic-procedures,Cross-specialty video hub,chest tube placement video,20,1,20,Video/procedural,YouTube and surgical video libraries,YouTube | CSurgeries | JoVE/JOMI,research\hub_competitor_sheets\020-thoracic-procedures.md,research\hub_briefs\020-thoracic-procedures.md,research\hub_outlines\020-thoracic-procedures.md,completed,Research sheet and brief synthesized from hub planning data and source URLs on 2026-04-16.
